"Name","Source","Level","Casting Time","Duration","School","Range","Components","Classes","Text","At Higher Levels"
"Teleportation Circle","PHB","5th","1 Minute","1 round","Conjuration","10 feet","V, M (rare chalks and inks infused with precious gems worth 50 gp, which the spell consumes)","Bard, Sorcerer, Wizard","As you cast the spell, you draw a 10-foot-diameter circle on the ground inscribed with sigils that link your location to a permanent teleportation circle of your choice whose sigil sequence you know and that is on the same plane of existence as you. A shimmering portal opens within the circle you drew and remains open until the end of your next turn. Any creature that enters the portal instantly appears within 5 feet of the destination circle or in the nearest unoccupied space if that space is occupied.Many major temples, guilds, and other important places have permanent teleportation circles inscribed somewhere within their confines. Each such circle includes a unique sigil sequence—a string of magical runes arranged in a particular pattern. When you first gain the ability to cast this spell, you learn the sigil sequences for two destinations on the Material Plane, determined by the DM. You can learn additional sigil sequences during your adventures. You can commit a new sigil sequence to memory after studying it for 1 minute.You can create a permanent teleportation circle by casting this spell in the same location every day for one year. You need not use the circle to teleport when you cast the spell in this way.",""
"Thunderclap","XGE","Cantrip","Action","Instantaneous","Evocation","5 feet","S","Artificer, Artificer (Revisited), Bard, Druid, Sorcerer, Warlock, Wizard","You create a burst of thunderous sound that can be heard up to 100 feet away. Each creature within range, other than you, must make a Constitution saving throw or take 1d6 thunder damage.The spell's damage increases by 1d6 when you reach 5th level (2d6), 11th level (3d6), and 17th level (4d6).",""
"Thunderous Smite","PHB","1st","Bonus acn.","Concentration, up to 1 minute","Evocation","Self","V","Paladin","The first time you hit with a melee weapon attack during this spell's duration, your weapon rings with thunder that is audible within 300 feet of you, and the attack deals an extra 2d6 thunder damage to the target. Additionally, if the target is a creature, it must succeed on a Strength saving throw or be pushed 10 feet away from you and knocked prone.",""
"Thunderwave","PHB","1st","Action","Instantaneous","Evocation","Self (15-foot cube)","V, S","Bard, Druid, Sorcerer, Wizard","A wave of thunderous force sweeps out from you. Each creature in a 15-foot cube originating from you must make a Constitution saving throw. On a failed save, a creature takes 2d8 thunder damage and is pushed 10 feet away from you. On a successful save, the creature takes half as much damage and isn't pushed.In addition, unsecured objects that are completely within the area of effect are automatically pushed 10 feet away from you by the spell's effect, and the spell emits a thunderous boom audible out to 300 feet.","At Higher Levels. When you cast this spell using a spell slot of 2nd level or higher, the damage increases by 1d8 for each slot level above 1st."
"Tongues","PHB","3rd","Action","1 hour","Divination","Touch","V, M (a small clay model of a ziggurat)","Bard, Cleric, Sorcerer, Warlock, Wizard","This spell grants the creature you touch the ability to understand any spoken language it hears. Moreover, when the target speaks, any creature that knows at least one language and can hear the target understands what it says.",""
"True Strike","PHB","Cantrip","Action","Concentration, up to 1 round","Divination","30 feet","S","Bard, Sorcerer, Warlock, Wizard","You extend your hand and point a finger at a target in range. Your magic grants you a brief insight into the target's defenses. On your next turn, you gain advantage on your first attack roll against the target, provided that this spell hasn't ended.",""
"Unseen Servant","PHB","1st","Action","1 hour","Conjuration","60 feet","V, S, M (a piece of string and a bit of wood)","Bard, Warlock, Wizard","This spell creates an invisible, mindless, shapeless, Medium force that performs simple tasks at your command until the spell ends. The servant springs into existence in an unoccupied space on the ground within range. It has AC 10, 1 hit point, and a Strength of 2, and it can't attack. If it drops to 0 hit points, the spell ends.Once on each of your turns as a bonus action, you can mentally command the servant to move up to 15 feet and interact with an object. The servant can perform simple tasks that a human servant could do, such as fetching things, cleaning, mending, folding clothes, lighting fires, serving food, and pouring wine. Once you give the command, the servant performs the task to the best of its ability until it completes the task, then waits for your next command.If you command the servant to perform a task that would move it more than 60 feet away from you, the spell ends.",""
"Vicious Mockery","PHB","Cantrip","Action","Instantaneous","Enchantment","60 feet","V","Bard","You unleash a string of insults laced with subtle enchantments at a creature you can see within range. If the target can hear you (though it need not understand you), it must succeed on a Wisdom saving throw or take 1d4 psychic damage and have disadvantage on the next attack roll it makes before the end of its next turn.This spell's damage increases by 1d4 when you reach 5th level (2d4), 11th level (3d4), and 17th level (4d4).",""
"Warding Wind","XGE","2nd","Action","Concentration, up to 10 minutes","Evocation","Self","V","Bard, Druid, Sorcerer, Wizard","A strong wind (20 miles per hour) blows around you in a 10-foot radius and moves with you, remaining centered on you. The wind lasts for the spell's duration.The wind has the following effects:It deafens you and other creatures in its area.It extinguishes unprotected flames in its area that are torch-sized or smaller.It hedges out vapor, gas, and fog that can be dispersed by strong wind.The area is difficult terrain for creatures other than you.The attack rolls of ranged weapon attacks have disadvantage if the attacks pass in or out of the wind.",""
"Wrathful Smite","PHB","1st","Bonus acn.","Concentration, up to 1 minute","Evocation","Self","V","Paladin","The next time you hit with a melee weapon attack during this spell's duration, your attack deals an extra 1d6 psychic damage. Additionally, if the target is a creature, it must make a Wisdom saving throw or be frightened of you until the spell ends. As an action, the creature can make a Wisdom check against your spell save DC to steel its resolve and end this spell.",""
"Zone of Truth","PHB","2nd","Action","10 minutes","Enchantment","60 feet","V, S","Bard, Cleric, Paladin","You create a magical zone that guards against deception in a 15-foot-radius sphere centered on a point of your choice within range. Until the spell ends, a creature that enters the spell's area for the first time on a turn or starts its turn there must make a Charisma saving throw. On a failed save, a creature can't speak a deliberate lie while in the radius. You know whether each creature succeeds or fails on its saving throw.An affected creature is aware of the spell and can thus avoid answering questions to which it would normally respond with a lie. Such creatures can be evasive in its answers as long as it remains within the boundaries of the truth.",""
